55;10;12;9;10;8
50;13;12;13;15;14
45;20;19;18;19;17
40;26;26;25;24;25
35;37;39;37;39;39
30;64;54;54;57;56
25;89;85;83;89;81
20;155;154;161;156;159
15;241;224;248;268;236
10;483;446;502;472;487
